iteration,x1,x2,f(x),gradient_norm,alpha,hessian_shift
2820,-4.024505352427e-07,-6.020755260829e-03,1.314187775222e-09,1.187430024102e-06,1.000000000000e+00,0.000000000000e+00
2835,4.024505352427e-07,-6.007700043947e-03,1.302827622151e-09,1.183270154544e-06,1.000000000000e+00,0.000000000000e+00
2850,-4.024505352427e-07,-5.994729398125e-03,1.291614163217e-09,1.179167452228e-06,1.000000000000e+00,0.000000000000e+00
2865,4.024505352427e-07,-5.981842414131e-03,1.280544883426e-09,1.175120974385e-06,1.000000000000e+00,0.000000000000e+00
2880,-4.024505352427e-07,-5.969038196362e-03,1.269617321454e-09,1.171129796551e-06,1.000000000000e+00,0.000000000000e+00
2895,4.024505352427e-07,-5.956315862580e-03,1.258829068276e-09,1.167193012146e-06,1.000000000000e+00,0.000000000000e+00
2910,-4.024505352427e-07,-5.943674543659e-03,1.248177765842e-09,1.163309732075e-06,1.000000000000e+00,0.000000000000e+00
2925,4.024505352427e-07,-5.931113383334e-03,1.237661105786e-09,1.159479084322e-06,1.000000000000e+00,0.000000000000e+00
2940,-4.024505352427e-07,-5.918631537957e-03,1.227276828177e-09,1.155700213572e-06,1.000000000000e+00,0.000000000000e+00
2955,4.024505352427e-07,-5.906228176259e-03,1.217022720301e-09,1.151972280834e-06,1.000000000000e+00,0.000000000000e+00
2970,-4.024505352427e-07,-5.893902479118e-03,1.206896615485e-09,1.148294463072e-06,1.000000000000e+00,0.000000000000e+00
2985,4.024505352427e-07,-5.881653639334e-03,1.196896391951e-09,1.144665952856e-06,1.000000000000e+00,0.000000000000e+00
3000,-4.024505352427e-07,-5.869480861401e-03,1.187019971706e-09,1.141085958009e-06,1.000000000000e+00,0.000000000000e+00
3015,0.000000000000e+00,-3.555032910733e-04,1.597255904599e-14,1.797177066662e-10,3.276800000000e+04,0.000000000000e+00
